match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
81,207,62,8866,9879,78,5,3,10,60,94,54,0,30,10,25,25,0,10,22411,21051,0,0,0,0,0,12,12,0,0,0,50,20,30,0
82,240,259,24070,8565,78,5,3,10,60,92,60,2,20,10,70,40,30,0,365,15534,100,10,0,10,80,119,69,0,30,20,40,40,0,0
83,263,275,12014,18139,95,30,0,5,60,88,57,1,20,10,80,40,40,0,19746,23974,93,25,3,5,60,92,51,1,30,10,80,40,40,10
84,153,236,24378,20626,70,5,0,5,60,33,21,2,10,0,50,40,10,0,10015,17315,100,10,0,10,80,66,45,1,20,0,70,40,30,0
85,157,107,14496,22043,60,10,0,10,40,27,24,3,0,0,70,40,30,0,17980,16255,30,5,0,5,20,57,27,0,20,10,20,20,0,0
86,318,205,14903,16379,83,10,3,10,60,135,81,4,30,20,90,40,50,10,11225,6547,100,10,0,10,80,60,30,0,20,10,45,25,20,0
87,82,161,7120,23562,20,0,0,0,20,22,12,0,10,0,40,20,20,0,21455,19818,86,15,6,5,60,35,21,4,10,0,40,20,20,0
88,193,142,24145,18341,50,5,0,5,40,33,24,9,0,0,90,40,50,20,23975,5386,78,5,3,10,60,39,18,1,20,0,25,5,20,0
89,205,266,20524,19213,50,5,0,5,40,80,54,6,10,10,75,25,50,0,16310,7693,80,10,0,10,60,96,66,0,10,20,90,40,50,0
90,146,248,15527,3587,31,0,6,5,20,25,21,4,0,0,90,40,50,0,4215,21521,80,10,0,10,60,108,57,1,30,20,60,40,20,0
91,139,69,9637,14423,70,5,0,5,60,39,27,2,10,0,20,20,0,10,21051,12635,30,5,0,5,20,14,12,2,0,0,25,25,0,0
92,213,204,14712,9879,60,0,15,5,40,113,69,4,20,20,40,40,0,0,18240,24070,78,5,3,10,60,56,33,3,10,10,60,40,20,10
93,225,224,365,3763,68,15,3,10,40,77,42,5,20,10,60,40,20,20,19498,22411,70,20,0,10,40,64,51,3,0,10,60,40,20,30
94,186,347,11808,16633,60,10,0,10,40,81,45,6,20,10,45,25,20,0,17315,19746,125,35,0,10,80,132,81,1,30,20,90,40,50,0
95,71,217,19829,8651,25,0,0,5,20,26,24,2,0,0,20,20,0,0,8866,24378,80,10,0,10,60,47,27,0,20,0,90,40,50,0
96,178,267,23974,10015,100,10,0,10,80,38,24,4,0,10,40,40,0,0,252,15534,100,10,0,10,80,127,66,1,30,30,40,40,0,0
97,299,110,14273,18225,123,30,3,10,80,106,72,4,10,20,70,40,30,0,18139,20626,45,0,0,5,40,25,24,1,0,0,40,40,0,0
98,320,51,8565,12014,115,45,0,10,60,125,84,1,20,20,80,40,40,0,21125,4545,10,5,0,5,0,31,15,6,0,10,10,10,0,0
99,186,233,18341,14496,45,5,0,0,40,81,45,6,20,10,60,40,20,0,7693,19818,63,10,3,10,40,70,39,1,20,10,70,40,30,30
100,90,135,23562,22043,28,0,3,5,20,22,12,0,10,0,40,20,20,0,15527,20524,16,0,6,10,0,49,27,2,10,10,70,40,30,0
101,144,182,9637,16310,55,10,0,5,40,29,27,2,0,0,60,20,40,0,7120,4215,70,5,0,5,60,67,36,1,20,10,45,25,20,0
102,227,240,21521,23975,80,10,0,10,60,77,42,5,20,10,70,40,30,0,14903,24070,70,5,0,5,60,100,60,0,20,20,70,40,30,0
103,90,260,18240,19498,34,0,9,5,20,31,21,10,0,0,25,25,0,0,6547,5386,105,15,0,10,80,65,33,2,20,10,70,40,30,20
104,236,325,21455,16379,73,5,3,5,60,103,57,6,30,10,60,40,20,0,9879,19746,128,35,3,10,80,127,75,2,30,20,70,40,30,0
