match_number,red_score,blue_score,red_team_1,red_team_2,red_Auto,red_Auto_Backdrop_Points,red_Auto_Backstage_Points,red_Navigation_Points,red_Randomization,red_Driver_Controlled,red_Driver_Backdrop_Points,red_Driver_Backstage_Points,red_Mosaic_Points,red_Set_Bonus_Points,red_End_Game,red_Location,red_Drone_Points,red_Penalty_from_other_team,blue_team_1,blue_team_2,blue_Auto,blue_Auto_Backdrop_Points,blue_Auto_Backstage_Points,blue_Navigation_Points,blue_Randomization,blue_Driver_Controlled,blue_Driver_Backdrop_Points,blue_Driver_Backstage_Points,blue_Mosaic_Points,blue_Set_Bonus_Points,blue_End_Game,blue_Location,blue_Drone_Points,blue_Penalty_from_other_team
119,175,201,19953,24809,53,0,3,10,40,62,30,2,20,10,60,20,40,0,20871,10644,20,0,0,0,20,81,51,0,20,10,100,40,60,0
120,261,129,12808,3747,71,15,6,10,40,110,57,3,30,20,80,20,60,0,11780,16265,50,5,0,5,40,39,24,5,0,10,40,40,0,0
121,280,115,23521,6596,95,25,0,10,60,95,63,2,20,10,90,40,50,0,6174,21695,50,5,0,5,40,25,15,0,10,0,40,20,20,0
122,199,151,13603,23898,65,20,0,5,40,84,63,1,0,20,50,20,30,0,8365,3188,25,0,0,5,20,76,45,1,20,10,50,20,30,0
123,190,100,14725,23422,75,25,0,10,40,55,33,2,10,10,60,20,40,0,11770,19411,70,25,0,5,40,30,15,15,0,0,0,0,0,0
124,152,108,9848,20123,38,5,3,10,20,84,54,0,20,10,20,20,0,10,516,23554,50,5,0,5,40,58,36,2,10,10,0,0,0,0
125,304,273,23381,12993,108,35,3,10,60,136,81,5,30,20,60,40,20,0,16158,16468,123,30,3,10,80,105,60,5,30,10,45,25,20,0
126,215,223,21225,21430,55,25,0,10,20,90,57,3,20,10,70,40,30,0,18840,10477,85,15,0,10,60,88,57,1,10,20,40,20,20,10
127,199,39,20288,15400,78,5,3,10,60,71,39,2,20,10,50,40,10,0,16817,3397,0,0,0,0,0,19,15,4,0,0,10,10,0,10
128,292,260,19502,16597,105,15,0,10,80,87,54,3,20,10,90,40,50,10,23905,19458,63,10,3,10,40,97,66,1,0,30,100,40,60,0
129,336,248,5356,10644,115,25,0,10,80,121,69,2,30,20,100,40,60,0,19836,23207,73,20,3,10,40,95,51,4,20,20,80,40,40,0
130,134,144,3747,1002,50,5,0,5,40,64,33,1,20,10,20,20,0,0,21865,23060,30,5,0,5,20,59,39,0,10,10,55,25,30,0
131,311,161,17962,19953,113,40,3,10,60,128,75,3,30,20,70,40,30,0,21695,16265,80,10,0,10,60,41,30,1,0,10,40,40,0,0
132,192,154,20871,23898,52,10,12,10,20,70,39,1,20,10,60,40,20,10,19889,23521,65,15,0,10,40,9,9,0,0,0,40,20,20,40
133,243,227,10544,6596,85,15,0,10,60,68,57,1,0,10,90,40,50,0,13603,16461,65,15,0,10,40,112,72,0,20,20,50,20,30,0
134,230,200,10298,516,70,5,0,5,60,105,75,0,20,10,55,25,30,0,23422,6174,80,10,0,10,60,70,39,1,20,10,50,20,30,0
135,172,252,12808,23381,68,15,3,10,40,44,21,13,10,0,60,40,20,0,19411,9848,95,25,0,10,60,107,66,1,30,10,50,20,30,0
136,225,226,11780,14725,71,5,6,0,60,74,42,2,10,20,70,40,30,10,18840,23554,61,5,6,10,40,75,42,3,20,10,90,40,50,0
137,110,228,25309,11770,35,10,0,5,20,25,9,6,10,0,50,40,10,0,10477,16158,78,5,3,10,60,90,57,3,20,10,60,40,20,0
138,285,299,9614,24433,103,30,3,10,60,92,60,2,20,10,90,40,50,0,12993,20123,56,25,6,5,20,143,90,3,30,20,70,40,30,30
139,316,98,16468,24750,103,10,3,10,80,133,69,4,40,20,80,40,40,0,21225,3188,60,15,0,5,40,38,27,1,0,10,0,0,0,0
140,135,124,24809,10265,25,0,0,5,20,45,33,2,0,10,55,5,50,10,21430,8365,40,10,0,10,20,39,21,8,10,0,45,25,20,0
